description,developer,format,genre,link,name,path,players,publisher,releasedate,size
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Eiyuu%20Densetsu%20Gagharv%20Trilogy%20-%20Akai%20Shizuku%20%28Japan%29.iso?download=true,Eiyuu Densetsu Gagharv Trilogy - Akai Shizuku (Japan).iso,Eiyuu Densetsu Gagharv Trilogy - Akai Shizuku (Japan).iso,,,,754 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Eiyuu%20Densetsu%20Gagharv%20Trilogy%20-%20Umi%20no%20Oriuta%20%28Japan%29.iso?download=true,Eiyuu Densetsu Gagharv Trilogy - Umi no Oriuta (Japan).iso,Eiyuu Densetsu Gagharv Trilogy - Umi no Oriuta (Japan).iso,,,,872 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Elkrone%20no%20Atelier%20-%20Dear%20for%20Otomate%20%28Japan%29.iso?download=true,Elkrone no Atelier - Dear for Otomate (Japan).iso,Elkrone no Atelier - Dear for Otomate (Japan).iso,,,,1.47 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Elminage%20III%20-%20Ankoku%20no%20Shito%20to%20Taiyou%20no%20Kyuuden%20%28Japan%29.iso?download=true,Elminage III - Ankoku no Shito to Taiyou no Kyuuden (Japan).iso,Elminage III - Ankoku no Shito to Taiyou no Kyuuden (Japan).iso,,,,718 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Evangelion%20-%20Jo%20%28Japan%29.iso?download=true,Evangelion - Jo (Japan).iso,Evangelion - Jo (Japan).iso,,,,774 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Evangelion%20Shin%20Gekijou-ban%20-%203nd%20Impact%20%28Japan%2C%20Asia%29.iso?download=true,"Evangelion Shin Gekijou-ban - 3nd Impact (Japan, Asia).iso","Evangelion Shin Gekijou-ban - 3nd Impact (Japan, Asia).iso",,,,1.14 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Ever%2017%20-%20The%20Out%20of%20Infinity%20-%20Premium%20Edition%20%28Japan%29.iso?download=true,Ever 17 - The Out of Infinity - Premium Edition (Japan).iso,Ever 17 - The Out of Infinity - Premium Edition (Japan).iso,,,,1.76 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Every%20Extend%20Extra%20%28USA%29.iso?download=true,Every Extend Extra (USA).iso,Every Extend Extra (USA).iso,,,,375 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Everybody%27s%20Golf%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Everybody's Golf (Europe) (En,Fr,De,Es,It).iso","Everybody's Golf (Europe) (En,Fr,De,Es,It).iso",,,,564 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Everybody%27s%20Golf%202%20%28Europe%2C%20Canada%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Everybody's Golf 2 (Europe, Canada) (En,Fr,De,Es,It).iso","Everybody's Golf 2 (Europe, Canada) (En,Fr,De,Es,It).iso",,,,1.34 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Everybody%27s%20Stress%20Buster%20%28Asia%29%20%28En%2CZh%2CKo%29.iso?download=true,"Everybody's Stress Buster (Asia) (En,Zh,Ko).iso","Everybody's Stress Buster (Asia) (En,Zh,Ko).iso",,,,519 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Everybody%27s%20Sukkiri%20%28Japan%2C%20Asia%29.iso?download=true,"Everybody's Sukkiri (Japan, Asia).iso","Everybody's Sukkiri (Japan, Asia).iso",,,,432 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Everybody%27s%20Tennis%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Everybody's Tennis (Europe) (En,Fr,De,Es,It).iso","Everybody's Tennis (Europe) (En,Fr,De,Es,It).iso",,,,1.40 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Exciting%20Pro%20Wrestling%207%20-%20SmackDown%21%20vs.%20RAW%202006%20%28Japan%29.iso?download=true,Exciting Pro Wrestling 7 - SmackDown! vs. RAW 2006 (Japan).iso,Exciting Pro Wrestling 7 - SmackDown! vs. RAW 2006 (Japan).iso,,,,1.71 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Exit%20%28USA%29.iso?download=true,Exit (USA).iso,Exit (USA).iso,,,,136 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Exit%202%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Exit 2 (Europe) (En,Fr,De,Es,It).iso","Exit 2 (Europe) (En,Fr,De,Es,It).iso",,,,165 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/EyePet%20%28USA%29%20%28En%2CFr%2CEs%2CPt%29.iso?download=true,"EyePet (USA) (En,Fr,Es,Pt).iso","EyePet (USA) (En,Fr,Es,Pt).iso",,,,692 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/EyePet%20Adventures%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%2CPt%2CSv%2CNo%2CDa%2CFi%2CPl%2CRu%29.iso?download=true,"EyePet Adventures (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru).iso","EyePet Adventures (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru).iso",,,,1.03 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Eyeshield%2021%20-%20Portable%20Edition%20%28Japan%29.iso?download=true,Eyeshield 21 - Portable Edition (Japan).iso,Eyeshield 21 - Portable Edition (Japan).iso,,,,885 MB
