name,link,size
"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29.iso,1.04 GB
"Ace Combat X - Skies of Deception (Japan) (En,Ja,Fr,De,Es,It,Ko) (v2.00).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Japan%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29%20%28v2.00%29/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Japan%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29%20%28v2.00%29.iso,1.04 GB
"Ace Combat X - Skies of Deception (Japan, Asia) (En,Ja,Fr,De,Es,It,Ko) (v1.01).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Japan%2C%20Asia%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29%20%28v1.01%29/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Japan%2C%20Asia%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29%20%28v1.01%29.iso,1.04 GB
"Ace Combat X - Skies of Deception (Korea) (En,Ja,Fr,De,Es,It,Ko).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Korea%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28Korea%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29.iso,1.04 GB
"Ace Combat X - Skies of Deception (USA) (En,Ja,Fr,De,Es,It,Ko).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28USA%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29/Ace%20Combat%20X%20-%20Skies%20of%20Deception%20%28USA%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2CKo%29.iso,1.04 GB
"Ace Combat X2 - Joint Assault (Japan, Korea) (En,Ja,Fr,De,Es,It).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Ace%20Combat%20X2%20-%20Joint%20Assault%20%28Japan%2C%20Korea%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%29/Ace%20Combat%20X2%20-%20Joint%20Assault%20%28Japan%2C%20Korea%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%29.iso,1.65 GB
Aces of War (Europe).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Aces%20of%20War%20%28Europe%29/Aces%20of%20War%20%28Europe%29.iso,465.44 MB
Activision Hits Remixed (Europe).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Activision%20Hits%20Remixed%20%28Europe%29/Activision%20Hits%20Remixed%20%28Europe%29.iso,264.78 MB
Activision Hits Remixed (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Activision%20Hits%20Remixed%20%28USA%29/Activision%20Hits%20Remixed%20%28USA%29.iso,264.84 MB
Adventure Player (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Adventure%20Player%20%28Japan%29/Adventure%20Player%20%28Japan%29.iso,763.66 MB
"Adventures to Go! (Europe) (En,Fr,De).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Adventures%20to%20Go%21%20%28Europe%29%20%28En%2CFr%2CDe%29/Adventures%20to%20Go%21%20%28Europe%29%20%28En%2CFr%2CDe%29.iso,175.84 MB
Adventures to Go! (USA) (Beta) (2009-06-10).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Adventures%20to%20Go%21%20%28USA%29%20%28Beta%29%20%282009-06-10%29/Adventures%20to%20Go%21%20%28USA%29%20%28Beta%29%20%282009-06-10%29.iso,167.97 MB
Adventures to Go! (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Adventures%20to%20Go%21%20%28USA%29/Adventures%20to%20Go%21%20%28USA%29.iso,167.97 MB
Aedis Eclipse - Generation of Chaos (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Aedis%20Eclipse%20-%20Generation%20of%20Chaos%20%28USA%29/Aedis%20Eclipse%20-%20Generation%20of%20Chaos%20%28USA%29.iso,638.00 MB
AFL Challenge (Australia).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AFL%20Challenge%20%28Australia%29/AFL%20Challenge%20%28Australia%29.iso,149.50 MB
"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It) (ULES-00753).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/After%20Burner%20-%20Black%20Falcon%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28ULES-00753%29/After%20Burner%20-%20Black%20Falcon%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28ULES-00753%29.iso,408.03 MB
"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It) (ULES-00785).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/After%20Burner%20-%20Black%20Falcon%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28ULES-00785%29/After%20Burner%20-%20Black%20Falcon%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28ULES-00785%29.iso,408.03 MB
"After Burner - Black Falcon (USA) (En,Fr,Es,It,Nl).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/After%20Burner%20-%20Black%20Falcon%20%28USA%29%20%28En%2CFr%2CEs%2CIt%2CNl%29/After%20Burner%20-%20Black%20Falcon%20%28USA%29%20%28En%2CFr%2CEs%2CIt%2CNl%29.iso,407.56 MB
Agarest Senki Mariage (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Agarest%20Senki%20Mariage%20%28Japan%29/Agarest%20Senki%20Mariage%20%28Japan%29.iso,1.53 GB
AI Igo (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AI%20Igo%20%28Japan%29/AI%20Igo%20%28Japan%29.iso,12.28 MB
AI Mahjong (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AI%20Mahjong%20%28Japan%29/AI%20Mahjong%20%28Japan%29.iso,24.91 MB
AI Shougi (Japan) (v1.04).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AI%20Shougi%20%28Japan%29%20%28v1.04%29/AI%20Shougi%20%28Japan%29%20%28v1.04%29.iso,23.78 MB
AI Shougi (Japan) (v2.00).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AI%20Shougi%20%28Japan%29%20%28v2.00%29/AI%20Shougi%20%28Japan%29%20%28v2.00%29.iso,23.84 MB
Air (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Air%20%28Japan%29/Air%20%28Japan%29.iso,1.50 GB
Air Conflicts - Aces of World War II (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Air%20Conflicts%20-%20Aces%20of%20World%20War%20II%20%28USA%29/Air%20Conflicts%20-%20Aces%20of%20World%20War%20II%20%28USA%29.iso,859.09 MB
Airou de Puzzle (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Airou%20de%20Puzzle%20%28Japan%29/Airou%20de%20Puzzle%20%28Japan%29.iso,171.72 MB
Akaneiro ni Somaru Saka Portable (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akaneiro%20ni%20Somaru%20Saka%20Portable%20%28Japan%29/Akaneiro%20ni%20Somaru%20Saka%20Portable%20%28Japan%29.iso,1.05 GB
Akatsuki no Amaneka to Aoi Kyojin (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akatsuki%20no%20Amaneka%20to%20Aoi%20Kyojin%20%28Japan%29/Akatsuki%20no%20Amaneka%20to%20Aoi%20Kyojin%20%28Japan%29.iso,498.59 MB
Akatsuki no Goei Trinity (Japan) (Disc 1).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akatsuki%20no%20Goei%20Trinity%20%28Japan%29%20%28Disc%201%29.iso,1.07 GB
Akatsuki no Goei Trinity (Japan) (Disc 2).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akatsuki%20no%20Goei%20Trinity%20%28Japan%29%20%28Disc%202%29.iso,1.30 GB
Akaya Akashiya Ayakashino (Japan) (Disc 1).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akaya%20Akashiya%20Ayakashino%20%28Japan%29%20%28Disc%201%29/Akaya%20Akashiya%20Ayakashino%20%28Japan%29%20%28Disc%201%29.iso,714.41 MB
Akaya Akashiya Ayakashino (Japan) (Disc 2).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/Akaya%20Akashiya%20Ayakashino%20%28Japan%29%20%28Disc%202%29/Akaya%20Akashiya%20Ayakashino%20%28Japan%29%20%28Disc%202%29.iso,768.38 MB
AKB1-149 - Ren'ai Sousenkyo (Japan) (Data Install Senyou Disc).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AKB1-149%20-%20Ren%27ai%20Sousenkyo%20%28Japan%29%20%28Data%20Install%20Senyou%20Disc%29/AKB1-149%20-%20Ren%27ai%20Sousenkyo%20%28Japan%29%20%28Data%20Install%20Senyou%20Disc%29.iso,1.68 GB
AKB1-149 - Ren'ai Sousenkyo (Japan) (Game Disc).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/AKB1-149%20-%20Ren%27ai%20Sousenkyo%20%28Japan%29%20%28Game%20Disc%29/AKB1-149%20-%20Ren%27ai%20Sousenkyo%20%28Japan%29%20%28Game%20Disc%29.iso,1.68 GB
