name,size,link
Blade (USA).chd,300 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blade%20%28USA%29.chd?download=true
Blast Chamber (USA).chd,288 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blast%20Chamber%20%28USA%29.chd?download=true
Blast Lacrosse (USA) (Alt).chd,140 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blast%20Lacrosse%20%28USA%29%20%28Alt%29.chd?download=true
Blast Lacrosse (USA).chd,140 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blast%20Lacrosse%20%28USA%29.chd?download=true
Blast Radius (USA).chd,422 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blast%20Radius%20%28USA%29.chd?download=true
Blaster Master - Blasting Again (USA).chd,349 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blaster%20Master%20-%20Blasting%20Again%20%28USA%29.chd?download=true
Blasto (USA).chd,199 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blasto%20%28USA%29.chd?download=true
Blazing Dragons (USA).chd,137 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blazing%20Dragons%20%28USA%29.chd?download=true
Blockbuster Presents - GameShark Top 50 - Summer Fall 2001 (USA) (Unl).chd,55 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blockbuster%20Presents%20-%20GameShark%20Top%2050%20-%20Summer%20Fall%202001%20%28USA%29%20%28Unl%29.chd?download=true
Blockids (USA).chd,448 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blockids%20%28USA%29.chd?download=true
Blood Omen - Legacy of Kain (USA) (Beta 1).chd,442 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blood%20Omen%20-%20Legacy%20of%20Kain%20%28USA%29%20%28Beta%201%29.chd?download=true
Blood Omen - Legacy of Kain (USA) (Beta 2).chd,442 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blood%20Omen%20-%20Legacy%20of%20Kain%20%28USA%29%20%28Beta%202%29.chd?download=true
Blood Omen - Legacy of Kain (USA).chd,473 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Blood%20Omen%20-%20Legacy%20of%20Kain%20%28USA%29.chd?download=true
Bloody Roar (USA).chd,351 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bloody%20Roar%20%28USA%29.chd?download=true
Bloody Roar II (USA).chd,325 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Bloody%20Roar%20II%20%28USA%29.chd?download=true
